timestamp,PrimaryPLC.System.BMSAB/CurrentMismatch,PrimaryPLC.System.BMSAB/VoltageMismatch,PrimaryPLC.System.CANBusDrive/cWinchA/CntrlTemp,PrimaryPLC.System.CANBusDrive/cWinchA/Current,PrimaryPLC.System.CANBusDrive/cWinchA/MotorTemp,PrimaryPLC.System.CANBusDrive/cWinchA/TargetSpeed,PrimaryPLC.System.CANBusDrive/cWinchA/Velocity,PrimaryPLC.System.CANBusDrive/cWinchAngleA/Position,PrimaryPLC.System.CANBusDrive/cWinchAngleA/SlaveNotify,PrimaryPLC.System.CANBusSystem/cBMSA/Current,PrimaryPLC.System.CANBusSystem/cBMSA/SOC,PrimaryPLC.System.CANBusSystem/cBMSA/Voltage,PrimaryPLC.System.CANBusSystem/cBMSB/Current,PrimaryPLC.System.CANBusSystem/cBMSB/SOC,PrimaryPLC.System.CANBusSystem/cBMSB/SOH
87654,10.0,0.5,,0.0,,0.0,-0.0333333,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87660,10.0,0.5,,0.0,,0.0,0.0,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87665,10.0,0.5,,0.0,,0.0,-0.0666667,-0.992088,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87668,10.0,0.5,,0.0,,0.0,0.0,-0.992015,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87674,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87678,10.0,0.5,,0.0,,0.0,-0.0333333,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87685,10.0,0.5,,0.0,,0.0,0.0666667,-0.992106,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87689,,,41.0,,45.0,,,,,,,,,,
87691,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87698,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87704,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87709,10.0,0.5,,0.0,,0.0,0.0333333,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87713,10.0,0.5,,0.0,,0.0,0.0333333,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87718,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87725,10.0,0.5,,0.0,,0.0,0.0,-0.992034,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87730,10.0,0.5,,0.0,,0.0,0.1,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87735,10.0,0.5,,0.0,,0.0,0.0,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87735,,,41.0,,45.0,,,,,,,,,,
87741,10.0,0.5,,0.0,,0.0,0.0,-0.992015,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87746,10.0,0.5,,0.0,,0.0,0.0,-0.992034,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87751,10.0,0.5,,0.0,,0.0,0.0,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87756,10.0,0.5,,0.0,,0.0,0.0,-0.992088,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87761,10.0,0.5,,0.0,,0.0,0.0,-0.992088,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87765,10.0,0.5,,0.0,,0.0,-0.133333,-0.992088,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87771,10.0,0.5,,0.0,,0.0,-0.0333333,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87776,10.0,0.5,,0.0,,0.0,-0.166667,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87778,,,41.0,,45.0,,,,,,,,,,
87780,10.0,0.5,,0.0,,0.0,0.0333333,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87785,10.0,0.5,,0.0,,0.0,0.0,-0.991997,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87790,10.0,0.5,,0.0,,0.0,-0.133333,-0.992034,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87796,10.0,0.5,,0.0,,0.0,0.0,-0.992034,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87799,10.0,0.5,,0.0,,0.0,0.0,-0.992034,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87805,10.0,0.5,,0.0,,0.0,0.0,-0.992088,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87809,10.0,0.5,,0.0,,0.0,0.0,-0.992088,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87814,10.0,0.5,,0.0,,0.0,-0.0333333,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87820,10.0,0.5,,0.0,,0.0,0.0,-0.992088,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87820,,,41.0,,45.0,,,,,,,,,,
87826,10.0,0.5,,0.0,,0.0,0.0,-0.992106,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87831,10.0,0.5,,0.0,,0.0,0.0,-0.992015,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87836,10.0,0.5,,0.0,,0.0,0.0,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87840,10.0,0.5,,0.0,,0.0,0.0333333,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87846,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87852,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87858,10.0,0.5,,0.0,,0.0,0.166667,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87863,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87863,,,41.0,,45.0,,,,,,,,,,
87868,10.0,0.5,,0.0,,0.0,0.0333333,-0.992034,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87874,10.0,0.5,,0.0,,0.0,0.0,-0.992088,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87878,10.0,0.5,,0.0,,0.0,0.0,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87885,10.0,0.5,,0.0,,0.0,0.0,-0.992034,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87890,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87896,10.0,0.5,,0.0,,0.0,-0.0666667,-0.992106,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87901,10.0,0.5,,0.0,,0.0,0.0,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87906,10.0,0.5,,0.0,,0.0,0.0,-0.992034,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87906,,,41.0,,45.0,,,,,,,,,,
87912,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87917,10.0,0.5,,0.0,,0.0,0.0333333,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87921,10.0,0.5,,0.0,,0.0,0.0333333,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87928,10.0,0.5,,0.0,,0.0,0.0,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87933,10.0,0.5,,0.0,,0.0,0.0,-0.992034,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87938,10.0,0.5,,0.0,,0.0,0.0,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87942,10.0,0.5,,0.0,,0.0,0.0333333,-0.992088,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87949,10.0,0.5,,0.0,,0.0,0.1,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87949,,,41.0,,45.0,,,,,,,,,,
87953,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87959,10.0,0.5,,0.0,,0.0,0.0,-0.992088,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87964,10.0,0.5,,0.0,,0.0,0.0,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87970,10.0,0.5,,0.0,,0.0,0.0,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87974,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87981,10.0,0.5,,0.0,,0.0,0.0,-0.992088,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87986,10.0,0.5,,0.0,,0.0,0.1,-0.992052,0,1.200012,0.692,128.1,1.200012,0.66,1.0
87991,10.0,0.5,,0.0,,0.0,0.0,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
87993,,,41.0,,45.0,,,,,,,,,,
87995,10.0,0.5,,0.0,,0.0,-0.0666667,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
88000,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
88004,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
88010,10.0,0.5,,0.0,,0.0,0.0,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
88016,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
88021,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
